student_id,study_hours,attendance,assignments_completed,quiz_score,sleep_hours,final_result
1,2,70,5,60,6,fail
2,4,85,7,75,7,pass
3,1,60,3,40,5,fail
4,5,90,8,80,7,pass
5,3,80,6,72,6,pass
6,2,65,4,55,6,fail
7,6,95,9,88,8,pass
8,4,75,6,68,7,pass
9,1,55,2,38,5,fail
10,5,88,8,82,7,pass
11,3,78,5,66,6,pass
12,2,62,4,50,5,fail
13,4,83,7,73,7,pass
14,6,92,9,90,8,pass
15,1,58,3,42,5,fail
16,5,87,8,79,7,pass
17,3,72,6,64,6,pass
18,2,68,4,52,6,fail
19,4,81,7,71,7,pass
20,6,96,9,92,8,pass
21,1,52,2,35,5,fail
22,5,89,8,84,7,pass
23,3,76,6,69,6,pass
24,2,63,4,49,5,fail
25,4,82,7,74,7,pass
26,6,94,9,89,8,pass
27,1,57,3,41,5,fail
28,5,91,8,86,7,pass
29,3,79,6,70,6,pass
30,2,66,4,54,6,fail
31,4,84,7,76,7,pass
32,6,97,9,93,8,pass
33,1,53,2,36,5,fail
34,5,86,8,81,7,pass
35,3,74,6,67,6,pass
36,2,61,4,48,5,fail
37,4,80,7,72,7,pass
38,6,93,9,91,8,pass
39,1,56,3,39,5,fail
40,5,90,8,83,7,pass
